org,contributors,authored_prs,no_review_pct,self_served_pct,external_reviewed_pct,self_of_reviewed_pct,other_org_turf_capture_prs,b_pct_of_authored
tecnativa,22,10148,13.0,55.4,27.6,66.7,592,5.8
forgeflow,18,4646,16.2,20.4,51.7,28.3,101,2.2
akretion,18,4006,19.8,6.5,70.6,8.4,31,0.8
camptocamp,28,2308,6.5,9.7,74.4,11.5,77,3.3
acsone,18,2306,31.6,5.3,58.6,8.3,43,1.9
dixmit,2,1221,15.4,2.5,73.4,3.3,53,4.3
moduon,6,1149,8.5,23.3,66.8,25.9,42,3.7
oca @camptocamp,1,970,27.7,0.0,67.3,0.0,18,1.9
escodoo,4,850,0.7,0.4,94.4,0.4,5,0.6
grap,2,756,17.6,4.8,74.7,6.0,6,0.8
ecosoft-odoo,2,674,6.7,6.8,70.8,8.8,32,4.7
open source integrators,7,622,24.0,8.7,60.9,12.5,45,7.2
vauxoo,21,593,55.6,8.8,32.5,21.2,6,1.0
takobi-online @innovyou,1,577,1.9,0.0,74.7,0.0,3,0.5
hunki enterprises,1,549,7.8,0.0,91.8,0.0,3,0.5
acsone s.a./n.v.,1,547,20.8,0.0,77.9,0.0,17,3.1
gray matter logic,3,547,35.5,2.2,56.7,3.7,37,6.8
terrabit-ro / deltatech,1,496,95.4,0.0,4.6,0.0,77,15.5
opener b.v.,1,494,7.9,0.0,91.3,0.0,3,0.6
360erp,1,491,7.3,0.0,89.8,0.0,9,1.8
heliconia solutions pvt,1,477,1.7,0.0,96.0,0.0,6,1.3
agilebg,3,468,4.7,3.6,82.1,4.2,6,1.3
nexterp-romania,1,369,83.7,0.0,16.0,0.0,7,1.9
"obertix, free software solutions",1,367,6.0,0.0,93.7,0.0,2,0.5
trobz,7,345,2.6,0.0,95.4,0.0,4,1.2
efatto.it,1,340,9.7,0.0,83.8,0.0,10,2.9
bcim,1,339,12.7,0.0,87.0,0.0,1,0.3
coopiteasy,8,321,17.4,28.0,50.8,35.6,7,2.2
engenere,2,318,0.0,0.3,99.7,0.3,1,0.3
quartile limited,1,302,0.3,0.0,99.7,0.0,1,0.3
ecosoft,1,294,13.6,0.0,85.4,0.0,1,0.3
ap,4,291,1.4,11.0,69.4,13.7,9,3.1
qoqa,1,282,7.8,0.0,90.8,0.0,0,0.0
redneboa.es,1,274,2.6,0.0,97.1,0.0,1,0.4
bizzappdev systems pvt,1,272,1.8,0.0,94.9,0.0,0,0.0
studio73,10,251,1.2,2.4,92.0,2.5,1,0.4
serpent consulting services pvt,9,249,4.8,1.2,92.4,1.3,4,1.6
initos,15,229,8.7,2.6,83.8,3.0,1,0.4
kmee,6,226,3.5,0.4,94.2,0.5,1,0.4
pytech-,2,208,3.8,0.0,88.5,0.0,2,1.0
dinamicheaziendali,1,179,1.1,0.0,97.2,0.0,1,0.6
solvosci,3,177,1.7,0.0,96.0,0.0,2,1.1
therp (formerly sunflower it),1,170,31.2,0.0,67.1,0.0,15,8.8
laslabs.com,1,161,7.5,0.0,85.7,0.0,4,2.5
noviat,2,160,23.1,1.2,64.4,1.9,0,0.0
hpar,1,156,6.4,0.0,90.4,0.0,4,2.6
open eye development,1,156,10.9,0.0,83.3,0.0,5,3.2
sygel-technology,4,155,7.1,23.2,60.6,27.7,15,9.7
"forgeflow s.l,",1,153,0.7,0.0,98.0,0.0,1,0.7
sygel technology,1,151,0.0,0.0,100.0,0.0,0,0.0
phi,1,151,5.3,0.0,89.4,0.0,1,0.7
mt software,1,144,0.7,0.0,99.3,0.0,0,0.0
onestein,1,143,4.9,0.7,90.2,0.8,3,2.1
sostenia,1,129,81.4,0.0,18.6,0.0,82,63.6
dynapps,8,120,4.2,0.0,92.5,0.0,3,2.5
lefilament,4,116,3.4,0.9,92.2,0.9,1,0.9
aion tech,1,114,3.5,0.0,87.7,0.0,0,0.0
trobz consulting,2,111,2.7,0.0,97.3,0.0,1,0.9
factorlibre,7,105,4.8,0.0,89.5,0.0,3,2.9
optitoo s.à r.l.,1,99,16.2,0.0,82.8,0.0,2,2.0
takobi,1,99,7.1,0.0,90.9,0.0,1,1.0
commitsun.com,1,96,80.2,0.0,10.4,0.0,0,0.0
ecosoft co.,1,91,7.7,0.0,89.0,0.0,3,3.3
oca,4,91,61.5,0.0,38.5,0.0,7,7.7
therp,3,90,4.4,0.0,93.3,0.0,0,0.0
comunitea,3,90,18.9,0.0,72.2,0.0,7,7.8
indépendant,1,88,8.0,0.0,86.4,0.0,0,0.0
jar,1,86,2.3,0.0,93.0,0.0,0,0.0
ingadhoc,3,84,1.2,1.2,94.0,1.2,2,2.4
avanzosc,1,82,6.1,6.1,80.5,7.0,8,9.8
blaze-otp,1,73,15.1,0.0,78.1,0.0,0,0.0
openforce,3,73,1.4,1.4,95.9,1.4,0,0.0
hucke media,1,69,4.3,0.0,91.3,0.0,2,2.9
binhexteam @oca @binhexprod,1,69,2.9,0.0,97.1,0.0,1,1.4
digital5,4,68,4.4,0.0,75.0,0.0,0,0.0
"xcg sas, part of orbeet",1,68,27.9,0.0,66.2,0.0,2,2.9
process control,2,65,3.1,0.0,96.9,0.0,1,1.5
mind and go,3,64,3.1,1.6,93.8,1.6,1,1.6
change 2 improve,2,61,11.5,0.0,88.5,0.0,1,1.6
invitu,2,56,3.6,0.0,87.5,0.0,1,1.8
administration des contributions directes,1,55,12.7,0.0,87.3,0.0,3,5.5
qubiq,5,51,5.9,0.0,94.1,0.0,0,0.0
cetmix,2,49,12.2,0.0,81.6,0.0,1,2.0
dec,1,49,4.1,0.0,89.8,0.0,1,2.0
ooops404,1,49,0.0,0.0,53.1,0.0,0,0.0
kobros-tech,1,49,2.0,0.0,98.0,0.0,1,2.0
mountain coder,1,49,20.4,0.0,77.6,0.0,0,0.0
ledoweb,1,48,8.3,0.0,91.7,0.0,2,4.2
data dance s.r.o.,1,47,2.1,0.0,93.6,0.0,1,2.1
roofing industries,1,46,6.5,0.0,93.5,0.0,1,2.2
binhex-systems-solutions,1,45,4.4,0.0,95.6,0.0,2,4.4
nico solutions - engineering & it,1,44,0.0,0.0,95.5,0.0,0,0.0
binhexteam,3,40,0.0,0.0,100.0,0.0,0,0.0
elico corp,3,40,47.5,0.0,50.0,0.0,1,2.5
heligrafics,1,39,2.6,0.0,94.9,0.0,0,0.0
mallorcasoft,1,39,0.0,2.6,82.1,3.0,0,0.0
arieno.me,1,39,0.0,0.0,100.0,0.0,0,0.0
quartile/コタエル,1,36,11.1,0.0,75.0,0.0,1,2.8
dinamiche aziendali,1,36,2.8,0.0,97.2,0.0,0,0.0
catair,1,35,0.0,0.0,100.0,0.0,0,0.0
microcom #technologies,1,35,5.7,0.0,94.3,0.0,0,0.0
stesi,1,34,0.0,0.0,100.0,0.0,0,0.0
xtendoo-corporation,1,34,2.9,0.0,91.2,0.0,0,0.0
opensourceintegrators @ursais,1,34,2.9,0.0,97.1,0.0,1,2.9
xxp,1,33,3.0,0.0,97.0,0.0,0,0.0
komit,4,33,0.0,3.0,84.8,3.4,0,0.0
commitsun - roomdoo,1,33,42.4,0.0,57.6,0.0,0,0.0
loym-com,1,32,21.9,0.0,25.0,0.0,3,9.4
factor libre,2,31,9.7,0.0,83.9,0.0,1,3.2
